"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[98]",-4.05923891862486,0.133523164887774,-4.32270445834442,-4.14898543600366,-4.0595234402397,-3.96827270153004,-3.79604379258813,1.00071011420515,3000
"mu[99]",-4.19524850456848,0.137691270195656,-4.47193339749497,-4.28686760917502,-4.19732537527342,-4.10075785748054,-3.92567691111427,1.00060236253881,3000
"mu[100]",-4.41480015015787,0.136188024939484,-4.69215461759893,-4.50360876894958,-4.41289462881153,-4.32350804513441,-4.15768341366214,1.00051875544403,3000
"mu[101]",-4.7185783637464,0.140638606357015,-5.00504656582159,-4.81061520086561,-4.71465974444197,-4.62523472422828,-4.44456225603921,1.00062516097695,3000
"mu[102]",-4.91476404338939,0.14524757522652,-5.20159848722145,-5.0099188176623,-4.91732144884889,-4.81807634093891,-4.62494829736536,1.00084890355466,3000
"mu[103]",-5.29338147661523,0.239046997054837,-5.7495112586948,-5.45509396771241,-5.29797298070848,-5.1383013081029,-4.81440301132577,1.00130479321167,2500
"mu[104]",-4.85861333464808,0.225184223273853,-5.27681501135625,-5.01516471148106,-4.86339822871694,-4.70654399784375,-4.41825128584977,1.00075197017698,3000
"mu[105]",-4.11277643327345,0.225070249446921,-4.53515733195419,-4.26747611996961,-4.11766203186374,-3.96509883242447,-3.66959189519012,1.001036617108,3000
"mu[106]",-3.91649623655034,0.223116467344853,-4.33576951544821,-4.06831174442685,-3.9189469440628,-3.76785496136362,-3.46767248923514,1.00088005850369,3000
"mu[107]",-4.08273860237813,0.219755926279695,-4.48753462430072,-4.23504290992055,-4.08563998510899,-3.93973243098832,-3.64234993987338,1.00084774321966,3000
"mu[108]",-4.3454250277496,0.224214308627603,-4.77229538158881,-4.49336880350857,-4.34958784825904,-4.19606582729948,-3.89992778928009,1.00097367514928,3000
"mu[109]",-4.99825129736257,0.232875848301183,-5.44958237090405,-5.15399444772899,-4.99922832941024,-4.84020962535355,-4.5350749690482,1.00096106127144,3000
"mu[110]",-5.24096495446938,0.233669700707063,-5.68560747155373,-5.39645902976944,-5.24074917308892,-5.08839338669783,-4.76421106187638,1.00078670644945,3000
"mu[111]",-5.61081863654358,0.24375486073287,-6.09123216603245,-5.77606716216285,-5.61458512990043,-5.44927429001769,-5.12253464894612,1.00064260614973,3000
"mu[112]",-6.51023160668115,0.243654170749271,-6.98180758463674,-6.66971297182476,-6.50996158361461,-6.34463899340014,-6.02938363509251,1.00286657720133,850
"mu[113]",-4.63679863968962,0.207741503535732,-5.05516272107229,-4.77689218448707,-4.63422098664132,-4.48984407700873,-4.24368104500503,1.00159587762837,1800
"mu[114]",-4.01615587075781,0.20500662837801,-4.43080928272228,-4.15830145318413,-4.0092792644968,-3.87306480397962,-3.63334209666642,1.00221371172564,1200
"mu[115]",-3.89058989393087,0.200407038761837,-4.28303833864947,-4.02840260908912,-3.88903969636789,-3.75003977194765,-3.5013598673945,1.002014336601,1300
"mu[116]",-4.01506283607429,0.201247363525134,-4.40873082951253,-4.15438625422761,-4.00789868471573,-3.87629092233784,-3.63187543961926,1.00212136272679,1200
